Bus Name,Departure Time,Reaching Time,Duration,Bus Price,Seat Availability,Bus Type,Rating,Bus Route,Bus Route Link
Jai Mata Di Tour and Travels,20:28,02:00,05h 32m,"Starts from
INR 500 450","5 Seats available
2 Window",A/C Seater / Sleeper (2+2),3.4,Patna to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Jai Hanuman Travels,22:20,05:00,06h 40m,"Starts from
INR 550","54 Seats available
26 Window",A/C Seater / Sleeper (2+2),3.5,Patna to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Jai Mata Di Tour and Travels,22:40,04:00,05h 20m,"Starts from
INR 450 405","28 Seats available
14 Window",A/C Seater / Sleeper (2+2),3.2,Patna to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
V.I.P Travels,21:40,03:40,06h 00m,"Starts from
INR 350",53 Seats available,A/C Seater / Sleeper (2+2),2.6,Patna to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Armaan Tour & Travels,16:50,13:00,20h 10m,INR 2299 2012,1 Seat available,A/C Seater / Sleeper (2+1),2.4,Gopalganj to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
New Travel India,17:30,09:00,15h 30m,"Starts from
INR 2499 2249","16 Seats available
8 Window",A/C Seater / Sleeper (2+1),1.3,Gopalganj to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
New Travel India,18:15,08:00,13h 45m,"Starts from
INR 2499 2249","14 Seats available
7 Window",A/C Seater / Sleeper (2+1),1.3,Gopalganj to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
New Travel India,18:15,08:10,13h 55m,"Starts from
INR 2499 2249","30 Seats available
15 Window",A/C Seater / Sleeper (2+1),1.3,Gopalganj to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
New Travel India,17:35,08:30,14h 55m,"Starts from
INR 2499 2249","14 Seats available
7 Window",A/C Seater / Sleeper (2+1),1.3,Gopalganj to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
New Travel India,18:00,08:00,14h 00m,"Starts from
INR 2499 2249","14 Seats available
7 Window",A/C Seater / Sleeper (2+1),1.3,Gopalganj to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
New Travel India,17:40,08:30,14h 50m,"Starts from
INR 2499 2249","14 Seats available
7 Window",A/C Seater / Sleeper (2+1),1.3,Gopalganj to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
New Travel India,18:05,08:00,13h 55m,"Starts from
INR 2499 2249","14 Seats available
7 Window",A/C Seater / Sleeper (2+1),1.3,Gopalganj to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
Bihar state road transport corporation (BSRTC) - 150571,21:20,01:00,03h 40m,INR 230,"33 Seats available
16 Window",Non AC Seater (2+2),3.6,Patna to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Jai Hanuman Travels,22:00,04:00,06h 00m,"Starts from
INR 550","54 Seats available
26 Window",A/C Seater / Sleeper (2+2),4.5,Patna to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Jai Hanuman Travels,22:20,03:15,04h 55m,"Starts from
INR 550","54 Seats available
26 Window",A/C Seater / Sleeper (2+2),3.6,Patna to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Panwar Travels,18:10,21:35,03h 25m,"Starts from
INR 2580 2387","32 Seats available
4 Single",A/C Seater / Sleeper (2+1),2.8,Patna to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Jai Mata Di Tour and Travels,20:28,23:30,03h 02m,"Starts from
INR 500 450","5 Seats available
2 Window",A/C Seater / Sleeper (2+2),1.1,Patna to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
