Bus Name,Departure Time,Reaching Time,Duration,Bus Price,Seat Availability,Bus Type,Rating,Bus Route,Bus Route Link
New Pal Travels,21:15,07:15,10h 00m,"Starts from
INR 799 679","36 Seats available
18 Window",NON A/C Seater / Sleeper (2+2),1.4,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar
North Kashmir Tour and Travels,16:30,02:30,10h 00m,INR 699,"40 Seats available
20 Window",NON A/C Sleeper (2+2),1.0,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar
Harikesh Tour N Travels,20:30,06:00,09h 30m,"Starts from
INR 799 699",44 Seats available,NON A/C Seater / Sleeper (2+2),1.0,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar
Jamna Travels-Jammu,21:30,08:00,10h 30m,"Starts from
INR 549 508","32 Seats available
16 Window",Non AC Seater (2+2),2.3,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar
North Kashmir Tour and Travels,17:15,03:15,10h 00m,INR 699,"40 Seats available
20 Window",NON A/C Sleeper (2+2),1.0,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar
JKRTC - 172597,13:00,13:00,24h 00m,INR 2568.58,"26 Seats available
12 Window",Volvo AC Seater (2+2),4.7,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar
RAO TRAVELS INDIA PVT LTD.,16:00,11:30,19h 30m,INR 3000,48 Seats available,Mercedes Benz A/C (2+2),2.3,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar
SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),20:00,08:55,12h 55m,"Starts from
INR 800","11 Seats available
1 Single",VE A/C Seater / Sleeper (2+1),4.3,Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar
City Land Travels,20:30,09:00,12h 30m,"Starts from
INR 929 836","25 Seats available
6 Single",A/C Seater/Sleeper (2+1),3.5,Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar
Vijay Tour and Travels,16:40,05:00,12h 20m,"Starts from
INR 900","30 Seats available
4 Single",Bharat Benz A/C Seater /Sleeper (2+1),4.3,Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar
City Land Travels,18:00,06:20,12h 20m,"Starts from
INR 650 585","16 Seats available
3 Single",A/C Seater/Sleeper (2+1),3.1,Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar
Gola Bus Service,20:20,07:50,11h 30m,"Starts from
INR 399","34 Seats available
3 Single",A/C Seater/Sleeper (2+1),4.8,Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi
Laxmi holidays,20:15,08:00,11h 45m,"Starts from
INR 1000 950","40 Seats available
12 Single",Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.5,Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi
