Bus Name,Departure Time,Reaching Time,Duration,Bus Price,Seat Availability,Bus Type,Rating,Bus Route,Bus Route Link
TSRTC - 64020,14:00,18:00,04h 00m,INR 389,"32 Seats available
15 Window",RAJDHANI (A.C. Semi Sleeper),3.3,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 64863,14:10,18:30,04h 20m,INR 320,22 Seats available,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",3.8,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8974,14:40,18:30,03h 50m,INR 320,28 Seats available,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",3.7,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8969,15:15,19:30,04h 15m,INR 320,"31 Seats available
15 Window","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",4.3,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8698,15:20,19:30,04h 10m,INR 389,"33 Seats available
16 Window",RAJDHANI (A.C. Semi Sleeper),3.4,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 1319,17:10,20:45,03h 35m,INR 389,"28 Seats available
12 Single",Lahari A/C sleeper,3.5,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8613,17:20,21:30,04h 10m,INR 320,29 Seats available,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",4.1,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8675,17:40,21:40,04h 00m,INR 389,"34 Seats available
16 Window",RAJDHANI (A.C. Semi Sleeper),4.1,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 64089,18:00,22:00,04h 00m,INR 389,"35 Seats available
17 Window",RAJDHANI (A.C. Semi Sleeper),3.5,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 1952,18:10,21:45,03h 35m,INR 389,"34 Seats available
13 Single",Lahari A/C sleeper,3.4,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
