Bus Name,Departure Time,Reaching Time,Duration,Bus Price,Seat Availability,Bus Type,Rating,Bus Route,Bus Route Link
Assam State Transport Corporation (ASTC) - 154175,12:30,16:00,03h 30m,INR 164,"16 Seats available
5 Single",NON A/C Seater Push Back (2+1),3.6,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati
Mahalaxmi Travels,11:10,13:45,02h 35m,INR 250,4 Seats available,Tata A/C Seater (2+2),4.5,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati
Pranjit Travels (Under ASTC),11:55,15:00,03h 05m,INR 400,"24 Seats available
4 Single",NON A/C Seater (2+1),3.2,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati
Deep Travels,13:00,16:00,03h 00m,INR 250,"30 Seats available
17 Window",Non AC Seater (2+1),3.7,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati
Pranjit Travels (Under ASTC),13:15,15:30,02h 15m,INR 400,"25 Seats available
3 Single",A/C Seater (2+1),3.2,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati
Kareng Travels,13:20,16:00,02h 40m,INR 300,"13 Seats available
1 Single",Bharat Benz A/C Seater (2+1),3.7,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati
Baikuntha Transport Service,14:00,17:00,03h 00m,INR 500 400,"23 Seats available
12 Window",Bharat Benz A/C Seater (2+1),3.3,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati
Kareng Travels,14:15,16:30,02h 15m,INR 300,"17 Seats available
6 Single",Non AC Seater (2+1),3.7,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati
Chartered Bus - ASTC,14:30,17:00,02h 30m,INR 377.79,"10 Seats available
4 Window",Volvo AC Seater Pushback 2+2,4.4,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati
Karisma (Aziba),15:15,17:45,02h 30m,INR 200,34 Seats available,NON A/C Seater (2+1),4.0,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati
Chartered Bus - ASTC,16:00,18:30,02h 30m,INR 324.04,"21 Seats available
8 Window",Volvo AC Seater Pushback 2+2,4.9,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati
Chartered Bus - ASTC,17:00,19:15,02h 15m,INR 377.79,"18 Seats available
6 Window",Volvo AC Seater Pushback 2+2,4.4,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati
TRINAYAN TRANSPORT (Under ASTC),11:45,14:30,02h 45m,INR 447 413,"32 Seats available
20 Window",A/C Seater (2+1),2.8,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati
BARBIE TRAVELS,14:50,17:50,03h 00m,INR 300,37 Seats available,A/C Seater Push Back (2+2),N/A,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati
Balaji Tours And Travels,11:15,15:35,04h 20m,INR 162,"41 Seats available
20 Window",NON A/C Seater Push Back (2+2),2.3,Goalpara to Guwahati,https://www.redbus.in/bus-tickets/goalpara-to-guwahati
Balaji Tours And Travels,12:00,16:20,04h 20m,INR 162,"33 Seats available
16 Window",NON A/C Seater (2+2),2.3,Goalpara to Guwahati,https://www.redbus.in/bus-tickets/goalpara-to-guwahati
Balaji Tours And Travels,12:15,16:30,04h 15m,INR 162,"33 Seats available
16 Window",NON A/C Seater (2+2),2.3,Goalpara to Guwahati,https://www.redbus.in/bus-tickets/goalpara-to-guwahati
Balaji Tours And Travels,13:00,17:00,04h 00m,INR 162,"41 Seats available
20 Window",NON A/C Seater Push Back (2+2),2.3,Goalpara to Guwahati,https://www.redbus.in/bus-tickets/goalpara-to-guwahati
Balaji Tours And Travels,13:30,17:00,03h 30m,INR 162,"33 Seats available
16 Window",NON A/C Seater (2+2),2.3,Goalpara to Guwahati,https://www.redbus.in/bus-tickets/goalpara-to-guwahati
Balaji Tours And Travels,14:15,17:15,03h 00m,INR 162,"33 Seats available
16 Window",NON A/C Seater (2+2),2.3,Goalpara to Guwahati,https://www.redbus.in/bus-tickets/goalpara-to-guwahati
