Bus Name,Departure Time,Reaching Time,Duration,Bus Price,Seat Availability,Bus Type,Rating,Bus Route,Bus Route Link
KSRTC (Kerala) - 51,19:04,04:24,09h 20m,INR 640,"26 Seats available
10 Window",Swift Deluxe Non AC Air Bus (2+2),4.2,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 789,20:00,04:25,08h 25m,INR 473,25 Seats available,Super Fast Non AC Seater (2+3),3.6,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 1585,20:31,05:36,09h 05m,INR 640,25 Seats available,Super Express Non AC Seater Air Bus (2+2),3.8,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 1586,21:31,06:36,09h 05m,INR 640,29 Seats available,Super Express Non AC Seater Air Bus (2+2),3.2,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 2133,22:12,07:36,09h 24m,INR 640,"16 Seats available
4 Window",Swift Deluxe Non AC Air Bus (2+2),3.4,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 2063,22:32,07:35,09h 03m,INR 627,16 Seats available,SWIFT-GARUDA A/C SEATER BUS,3.8,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 574,23:00,09:30,10h 30m,INR 469,19 Seats available,Super Express Non AC Seater Air Bus (2+2),3.9,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 583,23:30,09:35,10h 05m,INR 469,10 Seats available,Super Express Non AC Seater Air Bus (2+2),3.8,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 56,23:41,09:05,09h 24m,INR 627,12 Seats available,SWIFT-GARUDA A/C SEATER BUS,3.8,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
MMK Travels,22:30,07:30,09h 00m,"Starts from
INR 700","20 Seats available
7 Window",VE A/C Seater / Sleeper (2+1),4.4,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
NS Transports,21:45,06:10,08h 25m,"Starts from
INR 800","3 Seats available
2 Window",Non A/C Seater / Sleeper (2+1),4.2,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
P K Travels,18:45,06:30,11h 45m,INR 950,"7 Seats available
1 Single",A/C Sleeper (2+1),4.2,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
AdSuraj Holidays,22:30,07:30,09h 00m,"Starts from
INR 900","22 Seats available
7 Single",VE A/C Sleeper (2+1),3.9,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
