Bus Name,Departure Time,Reaching Time,Duration,Bus Price,Seat Availability,Bus Type,Rating,Bus Route,Bus Route Link
Kadamba Transport Corporation Limited (KTCL) - 89821,19:15,05:50,10h 35m,"Starts from
INR 800","12 Seats available
1 Single",A/C Sleeper (2+1),3.6,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Atmaram Gobus,22:30,08:45,10h 15m,"Starts from
INR 565","10 Seats available
1 Single",VE A/C Sleeper (2+1),4.7,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Atmaram Gobus,21:00,07:30,10h 30m,"Starts from
INR 555","5 Seats available
2 Window",VE A/C Sleeper (2+1),4.5,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Ashray Vip Yellows,20:30,08:00,11h 30m,"Starts from
INR 700 648",12 Seats available,A/C Sleeper (2+1),4.4,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Ashray Travels,21:00,08:30,11h 30m,"Starts from
INR 601 556",9 Seats available,Bharat Benz A/C Sleeper (2+1),4.4,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Zingbus Plus,23:00,10:00,11h 00m,"Starts from
INR 617 540","2 Seats available
1 Window",Bharat Benz A/C Sleeper (2+1),4.4,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Zingbus Plus,23:55,11:10,11h 15m,"Starts from
INR 586 513",8 Seats available,VE A/C Sleeper (2+1),4.4,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Ashray Travels,21:15,07:45,10h 30m,"Starts from
INR 400",31 Seats available,Non A/C Seater / Sleeper (2+1),4.5,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Atmaram Gobus,20:30,07:00,10h 30m,INR 600,"14 Seats available
2 Single",NON A/C Sleeper (2+1),4.3,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Laxmi-Princess Nova,20:00,07:15,11h 15m,"Starts from
INR 399","10 Seats available
2 Single",Non A/C Seater / Sleeper (2+1),4.3,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Ashray Amrutyog,22:00,09:30,11h 30m,"Starts from
INR 650 601","10 Seats available
1 Single",A/C Sleeper (2+1),4.4,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
