Bus Name,Departure Time,Reaching Time,Duration,Bus Price,Seat Availability,Bus Type,Rating,Bus Route,Bus Route Link
NBSTC-KOL-SLG-R1-18:00,18:00,06:00,12h 00m,INR 486,"17 Seats available
5 Window",NON A/C Seater Push Back (2+2),4.1,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
SBSTC-KOLKATA - SILIGURI - VIA - MALDA - 20:00 (BEL DEPO - 3805,20:00,09:00,13h 00m,INR 500,"34 Seats available
17 Window",Express (Non AC Seater 2+2),4.3,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Shyamoli Paribahan Pvt Ltd,19:30,08:45,13h 15m,"Starts from
INR 1200","17 Seats available
2 Single",Volvo 9600 A/C Seater/Sleeper (2+1),4.7,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
AdRoyal Cruiser,18:00,07:00,13h 00m,INR 1047 968,39 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2),3.7,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Lokenath Bus Service,18:45,07:30,12h 45m,INR 1500,"25 Seats available
1 Single",Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.6,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Lokenath Bus Service,18:15,06:30,12h 15m,"Starts from
INR 1200",12 Seats available,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),4.5,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Shyamoli Paribahan Pvt Ltd,18:00,06:50,12h 50m,INR 1500,"23 Seats available
10 Single",Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.5,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Express Line,18:30,07:40,13h 10m,INR 1599 1499,"13 Seats available
6 Window",Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.5,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Rubi Paribahan  ,18:00,07:15,13h 15m,"Starts from
INR 1199","34 Seats available
2 Single",Volvo Multi Axle B11R AC Seater\Sleeper (2+1),4.3,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Greenline,18:30,07:45,13h 15m,INR 1500,"11 Seats available
3 Single",Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.5,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Greenline,18:00,07:00,13h 00m,INR 1500,"18 Seats available
2 Single",Volvo Multi-Axle A/C Sleeper (2+1),4.5,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Rubi Paribahan  ,19:00,07:30,12h 30m,INR 1499,"24 Seats available
2 Single",Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.2,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
EASY RIDE,18:45,07:25,12h 40m,INR 1500,"8 Seats available
4 Window",Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.6,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Modern Travels,18:30,07:45,13h 15m,"Starts from
INR 825","23 Seats available
5 Single",Bharat Benz A/C Seater /Sleeper (2+1),3.6,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Maulik Paribahan,18:30,07:45,13h 15m,"Starts from
INR 1000",57 Seats available,A/C Seater / Sleeper (2+2),3.1,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
NBSTC-SLG-KOL-R1-18:30,18:30,06:30,12h 00m,INR 486,"18 Seats available
7 Window",NON A/C Seater Push Back (2+2),3.9,Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
SBSTC-SILIGURI - KOLKATA - VIA - MALDA - EXPRESS - 19:30 - 3806,19:30,08:30,13h 00m,INR 500,"27 Seats available
11 Window",Express (Non AC Seater 2+2),4.2,Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Express Line,18:30,07:10,12h 40m,INR 1599 1499,"19 Seats available
9 Window",Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.5,Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
,,,,,,,,Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
,,,,,,,,Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Lokenath Bus Service,21:00,06:30,09h 30m,INR 800 760,"25 Seats available
11 Window",Volvo A/C B11R Multi Axle Semi Sleeper (2+2),4.3,Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj
Shyamoli Paribahan Pvt Ltd,19:30,04:50,09h 20m,"Starts from
INR 900","20 Seats available
2 Single",Volvo 9600 A/C Seater/Sleeper (2+1),4.3,Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj
Shyamoli Paribahan Pvt Ltd,18:00,04:50,10h 50m,INR 1000,"28 Seats available
12 Single",Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.6,Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj
,,,,,,,,Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj
,,,,,,,,Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj
NBSTC-RAI-KOL-R1-19:30,19:30,05:30,10h 00m,INR 341,"27 Seats available
9 Window",NON A/C Seater Push Back (2+2),4.0,Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata
Lokenath Bus Service,20:50,06:30,09h 40m,INR 800 760,"26 Seats available
11 Window",Volvo A/C Seater (2+2),4.4,Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata
Shyamoli Paribahan Pvt Ltd,22:15,07:20,09h 05m,"Starts from
INR 900","28 Seats available
4 Single",Volvo Multi-Axle A/C seater/sleeper (2+1),4.7,Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata
Express Line,22:15,07:10,08h 55m,"Starts from
INR 1099 999","22 Seats available
2 Single",Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.4,Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata
,,,,,,,,Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata
SBSTC-KOLKATA - SILIGURI - VIA - MALDA - 20:00 (BEL DEPO - 3805,20:00,00:00,04h 00m,INR 290,"34 Seats available
17 Window",Express (Non AC Seater 2+2),3.0,Kolkata to Malda,https://www.redbus.in/bus-tickets/kolkata-to-malda
Express Line,19:45,04:30,08h 45m,"Starts from
INR 649","13 Seats available
6 Window",Volvo 9600 A/C Seater/Sleeper (2+1),4.6,Kolkata to Malda,https://www.redbus.in/bus-tickets/kolkata-to-malda
Lokenath Bus Service,21:00,05:15,08h 15m,INR 630 599,"26 Seats available
11 Window",Volvo A/C B11R Multi Axle Semi Sleeper (2+2),4.5,Kolkata to Malda,https://www.redbus.in/bus-tickets/kolkata-to-malda
,,,,,,,,Kolkata to Malda,https://www.redbus.in/bus-tickets/kolkata-to-malda
,,,,,,,,Kolkata to Malda,https://www.redbus.in/bus-tickets/kolkata-to-malda
NBSTC-COB-BHP-R1-19:00,19:00,07:30,12h 30m,INR 448,"19 Seats available
8 Window",Non AC Seater 2+2,4.2,Cooch Behar (West Bengal) to Berhampore (West Bengal),https://www.redbus.in/bus-tickets/cooch-behar-west-bengal-to-berhampore
NBSTC-KOL-COB-R1-17:00,17:45,08:00,14h 15m,INR 608,"11 Seats available
4 Window",Non AC Seater 2+2,3.6,Kolkata to Cooch Behar (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-cooch-behar-west-bengal
NBSTC-RAI-KOL-R1-19:30,20:40,05:30,08h 50m,INR 276,"27 Seats available
9 Window",NON A/C Seater Push Back (2+2),4.0,Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
Express Line,22:00,05:00,07h 00m,"Starts from
INR 649","8 Seats available
4 Window",Volvo 9600 A/C Seater/Sleeper (2+1),4.6,Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
Express Line,23:30,07:10,07h 40m,INR 999 899,"19 Seats available
9 Window",Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.7,Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
Lokenath Bus Service,22:35,06:30,07h 55m,INR 630 599,"26 Seats available
11 Window",Volvo A/C Seater (2+2),4.4,Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
,,,,,,,,Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
Upasana Transport,20:40,08:50,12h 10m,INR 600,2 Seats available,NON A/C Seater / Sleeper (2+2),3.4,Berhampore (West Bengal) to Cooch Behar (West Bengal),https://www.redbus.in/bus-tickets/berhampore-to-cooch-behar-west-bengal
NBSTC-KOL-BLG-R1-19:30,19:45,07:15,11h 30m,INR 367,"32 Seats available
15 Window",NON A/C Seater Push Back (2+2),3.8,Kolkata to Balurghat,https://www.redbus.in/bus-tickets/kolkata-to-balurghat
Express Line,19:45,06:15,10h 30m,INR 699,"7 Seats available
3 Window",Volvo 9600 A/C Seater/Sleeper (2+1),4.7,Kolkata to Balurghat,https://www.redbus.in/bus-tickets/kolkata-to-balurghat
Shyamoli Paribahan Pvt Ltd,20:00,06:15,10h 15m,INR 650,"22 Seats available
8 Window",Scania Multi-Axle AC Semi Sleeper (2+2),4.0,Kolkata to Balurghat,https://www.redbus.in/bus-tickets/kolkata-to-balurghat
Rubi Paribahan  ,20:30,05:00,08h 30m,"Starts from
INR 749",32 Seats available,Volvo 9600 A/C Seater/Sleeper (2+1),4.0,Kolkata to Balurghat,https://www.redbus.in/bus-tickets/kolkata-to-balurghat
New Dolphin Travels,17:30,07:00,13h 30m,"Starts from
INR 360 342",16 Seats available,NON A/C Seater / Sleeper (2+2),3.1,Kolkata to Balurghat,https://www.redbus.in/bus-tickets/kolkata-to-balurghat
Lokenath Bus Service,23:45,06:30,06h 45m,"Starts from
INR 800",13 Seats available,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),4.5,Berhampore (West Bengal) to Siliguri,https://www.redbus.in/bus-tickets/berhampore-to-siliguri
Aradhana Travels,22:00,06:00,08h 00m,INR 750 713,"37 Seats available
17 Window",Volvo A/C B11R Multi Axle Semi Sleeper (2+2),3.9,Berhampore (West Bengal) to Siliguri,https://www.redbus.in/bus-tickets/berhampore-to-siliguri
Aradhana Travels,20:50,06:00,09h 10m,"Starts from
INR 750 713","19 Seats available
2 Single",A/C Seater / Sleeper (2+1),3.9,Berhampore (West Bengal) to Siliguri,https://www.redbus.in/bus-tickets/berhampore-to-siliguri
RAYAN,22:30,06:30,08h 00m,"Starts from
INR 500",31 Seats available,NON A/C Seater / Sleeper (2+2),N/A,Berhampore (West Bengal) to Siliguri,https://www.redbus.in/bus-tickets/berhampore-to-siliguri
,,,,,,,N/A,Berhampore (West Bengal) to Siliguri,https://www.redbus.in/bus-tickets/berhampore-to-siliguri
NBSTC-SLG-KOL-R1-18:30,18:30,01:10,06h 40m,INR 326,"20 Seats available
8 Window",NON A/C Seater Push Back (2+2),4.2,Siliguri to Berhampore (West Bengal),https://www.redbus.in/bus-tickets/siliguri-to-berhampore
Aradhana Travels,21:30,05:30,08h 00m,INR 750 713,"39 Seats available
19 Window",Volvo A/C B11R Multi Axle Semi Sleeper (2+2),3.8,Siliguri to Berhampore (West Bengal),https://www.redbus.in/bus-tickets/siliguri-to-berhampore
Lokenath Bus Service,19:15,02:30,07h 15m,INR 1200,"23 Seats available
3 Single",Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.5,Siliguri to Berhampore (West Bengal),https://www.redbus.in/bus-tickets/siliguri-to-berhampore
Lokenath Bus Service,18:45,02:00,07h 15m,"Starts from
INR 800","51 Seats available
15 Single",Volvo Multi-Axle A/C Seater/Sleeper (2+1),4.5,Siliguri to Berhampore (West Bengal),https://www.redbus.in/bus-tickets/siliguri-to-berhampore
,,,,,,,,Siliguri to Berhampore (West Bengal),https://www.redbus.in/bus-tickets/siliguri-to-berhampore
NBSTC-KOL-BLG-R1-19:30,19:45,06:15,10h 30m,INR 335,"35 Seats available
17 Window",NON A/C Seater Push Back (2+2),3.4,Kolkata to Gangarampur,https://www.redbus.in/bus-tickets/kolkata-to-gangarampur
Express Line,19:45,05:45,10h 00m,"Starts from
INR 699","15 Seats available
7 Window",Volvo 9600 A/C Seater/Sleeper (2+1),4.7,Kolkata to Gangarampur,https://www.redbus.in/bus-tickets/kolkata-to-gangarampur
Shyamoli Paribahan Pvt Ltd,20:00,05:45,09h 45m,INR 650,"27 Seats available
10 Window",Scania Multi-Axle AC Semi Sleeper (2+2),4.0,Kolkata to Gangarampur,https://www.redbus.in/bus-tickets/kolkata-to-gangarampur
Rubi Paribahan  ,20:30,04:15,07h 45m,"Starts from
INR 749",34 Seats available,Volvo 9600 A/C Seater/Sleeper (2+1),4.0,Kolkata to Gangarampur,https://www.redbus.in/bus-tickets/kolkata-to-gangarampur
,,,,,,,,Kolkata to Gangarampur,https://www.redbus.in/bus-tickets/kolkata-to-gangarampur
NBSTC-COB-BHP-R1-19:00,19:00,03:19,08h 19m,INR 338,"16 Seats available
6 Window",Non AC Seater 2+2,4.4,Cooch Behar (West Bengal) to Malda,https://www.redbus.in/bus-tickets/cooch-behar-west-bengal-to-malda
NBSTC-BHP-COB-R1-18:30,20:50,07:00,10h 10m,INR 338,"15 Seats available
5 Window",Non AC Seater 2+2,3.3,Malda to Cooch Behar (West Bengal),https://www.redbus.in/bus-tickets/malda-to-cooch-behar-west-bengal
Express Line,18:50,05:00,10h 10m,"Starts from
INR 699","4 Seats available
2 Window",Volvo 9600 A/C Seater/Sleeper (2+1),4.5,Balurghat to Kolkata,https://www.redbus.in/bus-tickets/balurghat-to-kolkata
Rubi Paribahan  ,18:55,04:30,09h 35m,"Starts from
INR 799",15 Seats available,Volvo 9600 A/C Seater/Sleeper (2+1),4.3,Balurghat to Kolkata,https://www.redbus.in/bus-tickets/balurghat-to-kolkata
New Dolphin Travels,19:45,06:30,10h 45m,"Starts from
INR 360 342","35 Seats available
15 Window",NON A/C Seater / Sleeper (2+2),3.6,Balurghat to Kolkata,https://www.redbus.in/bus-tickets/balurghat-to-kolkata
Sonar Tori,19:30,06:30,11h 00m,"Starts from
INR 530 504","23 Seats available
11 Window",A/C Seater / Sleeper (2+2),3.4,Balurghat to Kolkata,https://www.redbus.in/bus-tickets/balurghat-to-kolkata
,,,,,,,,Balurghat to Kolkata,https://www.redbus.in/bus-tickets/balurghat-to-kolkata
NBSTC-KOL-COB-R1-17:00,17:45,05:45,12h 00m,INR 525,"19 Seats available
8 Window",Non AC Seater 2+2,3.1,Kolkata to Jalpaiguri,https://www.redbus.in/bus-tickets/kolkata-to-jalpaiguri
Rubi Paribahan  ,18:00,06:15,12h 15m,"Starts from
INR 1199","42 Seats available
4 Single",Volvo Multi Axle B11R AC Seater\Sleeper (2+1),3.9,Kolkata to Islampur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-islampur-west-bengal
Rubi Paribahan  ,19:00,07:00,12h 00m,INR 1499,"21 Seats available
3 Single",Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.1,Kolkata to Islampur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-islampur-west-bengal
EASY RIDE,18:45,06:45,12h 00m,"Starts from
INR 1500","16 Seats available
2 Single",Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.7,Kolkata to Islampur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-islampur-west-bengal
Shyamoli Paribahan Pvt Ltd,18:00,06:10,12h 10m,INR 1500,"36 Seats available
10 Single",Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.6,Kolkata to Islampur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-islampur-west-bengal
,,,,,,,,Kolkata to Islampur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-islampur-west-bengal
NBSTC-COB-BHP-R1-19:00,19:50,07:30,11h 40m,INR 411,"16 Seats available
6 Window",Non AC Seater 2+2,3.6,Falakata (west bengal) to Berhampore (West Bengal),https://www.redbus.in/bus-tickets/falakata-to-berhampore
NBSTC-COB-BHP-R1-19:00,19:00,01:45,06h 45m,INR 277,"21 Seats available
9 Window",Non AC Seater 2+2,4.0,Cooch Behar (West Bengal) to Raiganj,https://www.redbus.in/bus-tickets/cooch-behar-west-bengal-to-raiganj
NBSTC-RAI-KOL-R1-19:30,19:30,03:00,07h 30m,INR 250,"27 Seats available
9 Window",NON A/C Seater Push Back (2+2),3.7,Raiganj to Krishnanagar (West Bengal),https://www.redbus.in/bus-tickets/raiganj-to-krishnanagar
RAYAN,22:00,09:00,11h 00m,"Starts from
INR 500",59 Seats available,NON A/C Seater / Sleeper (2+2),N/A,Raiganj to Krishnanagar (West Bengal),https://www.redbus.in/bus-tickets/raiganj-to-krishnanagar
Lokenath Bus Service,19:45,03:20,07h 35m,"Starts from
INR 350",12 Seats available,NON A/C Seater / Sleeper (2+2),3.0,Raiganj to Krishnanagar (West Bengal),https://www.redbus.in/bus-tickets/raiganj-to-krishnanagar
Aradhana Bus Service,19:15,03:00,07h 45m,INR 700 665,"33 Seats available
16 Window",NON A/C Seater / Sleeper (2+2),2.5,Raiganj to Krishnanagar (West Bengal),https://www.redbus.in/bus-tickets/raiganj-to-krishnanagar
Mohanta Travels,23:30,05:00,05h 30m,"Starts from
INR 380 361","13 Seats available
7 Window",A/C Seater / Sleeper (2+2),3.7,Raiganj to Siliguri,https://www.redbus.in/bus-tickets/raiganj-to-siliguri
Shree Krishna Travels,23:40,05:00,05h 20m,"Starts from
INR 250",17 Seats available,NON A/C Seater / Sleeper (2+2),3.4,Raiganj to Siliguri,https://www.redbus.in/bus-tickets/raiganj-to-siliguri
Gopal Travels,23:30,04:00,04h 30m,"Starts from
INR 300",65 Seats available,A/C Seater / Sleeper (2+2),2.7,Raiganj to Siliguri,https://www.redbus.in/bus-tickets/raiganj-to-siliguri
Padmanabha Travels,23:50,05:05,05h 15m,"Starts from
INR 275 261","18 Seats available
7 Window",A/C Seater / Sleeper (2+2),2.6,Raiganj to Siliguri,https://www.redbus.in/bus-tickets/raiganj-to-siliguri
NBSTC-KOL-BLG-R1-19:30,19:45,05:45,10h 00m,INR 323,"34 Seats available
16 Window",NON A/C Seater Push Back (2+2),4.3,Kolkata to Buniadpur,https://www.redbus.in/bus-tickets/kolkata-to-buniadpur
Express Line,19:45,05:15,09h 30m,INR 699,"9 Seats available
4 Window",Volvo 9600 A/C Seater/Sleeper (2+1),4.6,Kolkata to Buniadpur,https://www.redbus.in/bus-tickets/kolkata-to-buniadpur
Rubi Paribahan  ,20:30,03:50,07h 20m,"Starts from
INR 749",31 Seats available,Volvo 9600 A/C Seater/Sleeper (2+1),4.4,Kolkata to Buniadpur,https://www.redbus.in/bus-tickets/kolkata-to-buniadpur
Shyamoli Paribahan Pvt Ltd,20:00,05:15,09h 15m,INR 650,"38 Seats available
15 Window",Scania Multi-Axle AC Semi Sleeper (2+2),3.8,Kolkata to Buniadpur,https://www.redbus.in/bus-tickets/kolkata-to-buniadpur
,,,,,,,,Kolkata to Buniadpur,https://www.redbus.in/bus-tickets/kolkata-to-buniadpur
NBSTC-BLG-KOL-R1-18:30,19:20,06:00,10h 40m,INR 334,"19 Seats available
9 Window",NON A/C Seater Push Back (2+2),3.9,Gangarampur to Kolkata,https://www.redbus.in/bus-tickets/gangarampur-to-kolkata
Express Line,19:45,05:00,09h 15m,"Starts from
INR 699","8 Seats available
4 Window",Volvo 9600 A/C Seater/Sleeper (2+1),4.5,Gangarampur to Kolkata,https://www.redbus.in/bus-tickets/gangarampur-to-kolkata
Rubi Paribahan  ,19:35,04:30,08h 55m,"Starts from
INR 799",15 Seats available,Volvo 9600 A/C Seater/Sleeper (2+1),4.6,Gangarampur to Kolkata,https://www.redbus.in/bus-tickets/gangarampur-to-kolkata
Sonar Tori,20:15,06:30,10h 15m,"Starts from
INR 530 504","23 Seats available
11 Window",A/C Seater / Sleeper (2+2),3.4,Gangarampur to Kolkata,https://www.redbus.in/bus-tickets/gangarampur-to-kolkata
,,,,,,,,Gangarampur to Kolkata,https://www.redbus.in/bus-tickets/gangarampur-to-kolkata
NBSTC-SLG-KOL-R1-18:30,18:30,04:50,10h 20m,INR 423,"20 Seats available
8 Window",NON A/C Seater Push Back (2+2),4.2,Siliguri to Ranaghat,https://www.redbus.in/bus-tickets/siliguri-to-ranaghat
Modern Travels,19:00,05:20,10h 20m,"Starts from
INR 825","36 Seats available
14 Single",Bharat Benz A/C Seater /Sleeper (2+1),3.7,Siliguri to Ranaghat,https://www.redbus.in/bus-tickets/siliguri-to-ranaghat
Lokenath Bus Service,20:30,05:35,09h 05m,"Starts from
INR 1200",46 Seats available,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),4.7,Siliguri to Ranaghat,https://www.redbus.in/bus-tickets/siliguri-to-ranaghat
Lokenath Bus Service,19:15,04:50,09h 35m,INR 1300,"29 Seats available
5 Single",Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.6,Siliguri to Ranaghat,https://www.redbus.in/bus-tickets/siliguri-to-ranaghat
Lokenath Bus Service,18:45,04:30,09h 45m,"Starts from
INR 1050",51 Seats available,,4.7,Siliguri to Ranaghat,https://www.redbus.in/bus-tickets/siliguri-to-ranaghat
NBSTC-SLG-KOL-R1-18:30,18:30,04:30,10h 00m,INR 395,"20 Seats available
8 Window",NON A/C Seater Push Back (2+2),4.0,Siliguri to Krishnanagar (West Bengal),https://www.redbus.in/bus-tickets/siliguri-to-krishnanagar
EASY RIDE,18:45,04:15,09h 30m,"Starts from
INR 1500","15 Seats available
3 Single",Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.3,Siliguri to Krishnanagar (West Bengal),https://www.redbus.in/bus-tickets/siliguri-to-krishnanagar
Aradhana Travels,19:05,05:30,10h 25m,"Starts from
INR 750 713","25 Seats available
5 Single",A/C Seater / Sleeper (2+1),3.8,Siliguri to Krishnanagar (West Bengal),https://www.redbus.in/bus-tickets/siliguri-to-krishnanagar
Express Line,18:30,04:10,09h 40m,INR 1299 1199,"19 Seats available
9 Window",Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.7,Siliguri to Krishnanagar (West Bengal),https://www.redbus.in/bus-tickets/siliguri-to-krishnanagar
,,,,,,,,Siliguri to Krishnanagar (West Bengal),https://www.redbus.in/bus-tickets/siliguri-to-krishnanagar
NBSTC-KOL-RAI-R1-20:30,20:45,01:30,04h 45m,INR 251,"32 Seats available
15 Window",NON A/C Seater Push Back (2+2),3.5,Kolkata to Farakka,https://www.redbus.in/bus-tickets/kolkata-to-farakka
