Bus Name,Departure Time,Reaching Time,Duration,Bus Price,Seat Availability,Bus Type,Rating,Bus Route,Bus Route Link
PEPSU (Punjab) - 66649,12:40,18:05,05h 25m,INR 692,"22 Seats available
6 Window",Volvo AC Seater (2+2),4.3,Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi
PEPSU (Punjab) - 67101,15:25,20:26,05h 01m,INR 440,"38 Seats available
17 Window",AC Seater Hvac 2+2,3.3,Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi
PEPSU (Punjab) - 67142,16:00,21:25,05h 25m,INR 692,"37 Seats available
17 Window",Volvo AC Seater (2+2),4.2,Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi
PEPSU (Punjab) - 66687,18:10,00:19,06h 09m,INR 692,"38 Seats available
19 Window",Volvo AC Seater (2+2),3.8,Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi
PEPSU (Punjab) - 67104,22:30,03:31,05h 01m,INR 440,"39 Seats available
19 Window",AC Seater Hvac 2+2,2.9,Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi
PEPSU (Punjab) - 67160,11:46,17:15,05h 29m,INR 692,"31 Seats available
12 Window",Volvo AC Seater (2+2),4.4,Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala
PEPSU (Punjab) - 66665,14:00,19:00,05h 00m,INR 692,"26 Seats available
9 Window",Volvo AC Seater (2+2),4.1,Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala
PEPSU (Punjab) - 66689,15:26,20:25,04h 59m,INR 692,"39 Seats available
19 Window",Volvo AC Seater (2+2),3.8,Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala
PEPSU (Punjab) - 67140,16:30,22:00,05h 30m,INR 440,"41 Seats available
20 Window",AC Seater Hvac 2+2,3.2,Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala
PEPSU (Punjab) - 66667,17:31,22:30,04h 59m,INR 692,"37 Seats available
17 Window",Volvo AC Seater (2+2),4.2,Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala
PEPSU (Punjab) - 67103,22:31,04:00,05h 29m,INR 440,"38 Seats available
19 Window",AC Seater Hvac 2+2,3.3,Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala
Yolo Bus,22:27,05:00,06h 33m,"Starts from
INR 400","27 Seats available
7 Single",VE A/C Seater / Sleeper (2+1),4.5,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Laxmi holidays,23:55,06:45,06h 50m,"Starts from
INR 600 570",31 Seats available,VE A/C Sleeper (2+1),4.5,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
IntrCity SmartBus,23:55,06:05,06h 10m,"Starts from
INR 342","30 Seats available
7 Single",Bharat Benz A/C Seater /Sleeper (2+1),4.3,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
AdArmaan Tour & Travels,22:50,06:00,07h 10m,"Starts from
INR 529 454","48 Seats available
6 Single",A/C Seater / Sleeper (2+1),3.5,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Zingbus Plus,23:40,06:00,06h 20m,"Starts from
INR 462 404",30 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),4.8,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
NueGo,23:15,05:05,05h 50m,INR 400 380,33 Seats available,Electric A/C Seater (2+2),3.7,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
IntrCity SmartBus,22:50,05:45,06h 55m,"Starts from
INR 466","24 Seats available
7 Single",AC Sleeper (2+1),4.3,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
IntrCity SmartBus,22:45,06:20,07h 35m,"Starts from
INR 493","23 Seats available
4 Single",A/C Seater / Sleeper (2+1),4.6,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
NueGo,18:00,23:50,05h 50m,INR 400 380,36 Seats available,Electric A/C Seater (2+2),3.5,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
IntrCity SmartBus,23:40,06:00,06h 20m,"Starts from
INR 344","35 Seats available
6 Single",A/C Seater / Sleeper (2+1),4.2,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Golden Temple Express Volvo,23:25,05:20,05h 55m,"Starts from
INR 599 499","27 Seats available
13 Window",A/C Seater / Sleeper (2+2),4.2,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
New Navyug Travels,23:00,05:30,06h 30m,"Starts from
INR 675","33 Seats available
11 Single",A/C Sleeper (2+1),3.8,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
NueGo,13:00,18:50,05h 50m,"Starts from
INR 400 380",20 Seats available,Electric A/C Seater (2+2),2.7,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Golden Temple Express Volvo,23:58,06:20,06h 22m,INR 699 599,"37 Seats available
18 Window",Volvo Multi-Axle A/C Semi Sleeper (2+2),3.2,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Golden Temple Express Volvo,23:30,05:20,05h 50m,"Starts from
INR 599 499","34 Seats available
17 Window",A/C Seater / Sleeper (2+2),3.9,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
IntrCity SmartBus,23:45,06:00,06h 15m,"Starts from
INR 449",36 Seats available,A/C Seater / Sleeper (2+1),3.7,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Classic Travels,23:55,06:55,07h 00m,"Starts from
INR 389","36 Seats available
18 Window",A/C Seater / Sleeper (2+2),2.6,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Classic Travels,23:30,06:30,07h 00m,"Starts from
INR 389","38 Seats available
8 Window",A/C Seater / Sleeper (2+2),2.4,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
ADTC tour and Travels,23:55,05:15,05h 20m,"Starts from
INR 600","26 Seats available
4 Single",Bharat Benz A/C Seater /Sleeper (2+1),2.7,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
ADTC tour and Travels,23:40,05:10,05h 30m,INR 600,"32 Seats available
15 Window",Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),2.7,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Muskan Tour And Travels private Limited,23:59,05:55,05h 56m,"Starts from
INR 549 508",39 Seats available,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),4.3,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Golden Temple Express Volvo,23:58,06:50,06h 52m,"Starts from
INR 699 599","36 Seats available
19 Window",A/C Seater / Sleeper (2+2),3.7,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Prince Travels,00:50,06:00,05h 10m,"Starts from
INR 1099","42 Seats available
22 Window",A/C Seater / Sleeper (2+2),3.1,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Khurana Bus Service,15:25,21:30,06h 05m,"Starts from
INR 500",23 Seats available,Bharat Benz A/C Seater (2+2),3.1,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Golden Temple Express Volvo,23:57,06:50,06h 53m,"Starts from
INR 649 549","34 Seats available
17 Window",A/C Seater / Sleeper (2+2),3.7,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Golden Temple Express Volvo,23:59,06:30,06h 31m,"Starts from
INR 599 499","34 Seats available
17 Window",A/C Seater / Sleeper (2+2),2.4,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
MM Travels,22:30,06:00,07h 30m,"Starts from
INR 349","40 Seats available
22 Window",A/C Seater / Sleeper (2+2),1.7,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
IntrCity SmartBus,23:45,05:55,06h 10m,"Starts from
INR 570",25 Seats available,VE A/C Seater / Sleeper (2+1),4.4,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Vijay Tour and Travels,17:50,01:20,07h 30m,"Starts from
INR 900 833","28 Seats available
4 Single",AC Sleeper (2+1),2.2,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
NAYAR TRAVELS (OPC) PVT LTD,14:30,22:30,08h 00m,"Starts from
INR 1659","30 Seats available
8 Single",A/C Sleeper (2+1),2.0,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Travel Point,23:25,05:20,05h 55m,"Starts from
INR 999 949","50 Seats available
26 Window",A/C Seater / Sleeper (2+2),3.5,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Yolo Bus,23:30,05:24,05h 54m,"Starts from
INR 550","23 Seats available
8 Single",VE A/C Seater / Sleeper (2+1),4.6,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Laxmi holidays,22:20,05:00,06h 40m,"Starts from
INR 420 399","29 Seats available
5 Single",Bharat Benz A/C Seater /Sleeper (2+1),4.6,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
IntrCity SmartBus,21:45,05:15,07h 30m,"Starts from
INR 453",36 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),4.6,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
AdGolden Temple Express Volvo,22:50,05:06,06h 16m,INR 699 599,"30 Seats available
14 Window",Volvo Multi-Axle A/C Semi Sleeper (2+2),4.1,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
