Bus Name,Departure Time,Reaching Time,Duration,Bus Price,Seat Availability,Bus Type,Rating,Bus Route,Bus Route Link
SBSTC-KOLKATA - DIGHA - 10:00 (KHIRPAI DEPOT) - 3506,10:00,14:30,04h 30m,INR 155,"52 Seats available
20 Window",Non AC Seater (2+3),2.7, Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
SBSTC-FALTA - DIGHA - VIA - KOLKATA - 07:00 (FALTA DEPOT - 547,10:15,14:45,04h 30m,INR 155,"52 Seats available
20 Window",Non AC Seater (2+3),3.5, Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
SBSTC-KOLKATA - DIGHA - 10:30 (MID DEPOT) - 3363,10:30,15:00,04h 30m,INR 155,"52 Seats available
20 Window",Non AC Seater (2+3),3.6, Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
SBSTC-ARAMBAG - DIGHA - VIA - KOLKATA - 07:40 - 1307,10:45,15:15,04h 30m,INR 155,"52 Seats available
20 Window",Non AC Seater (2+3),4.3, Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
SBSTC-KOLKATA - DIGHA - 11:45 (KALNA DEPOT) - 3822,11:45,16:15,04h 30m,INR 155,"52 Seats available
20 Window",Non AC Seater (2+3),4.2, Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
SBSTC-KOLKATA - DIGHA - 13:45 (MID DEPOT) - 971,13:45,18:15,04h 30m,INR 155,"49 Seats available
18 Window",Non AC Seater (2+3),4.3, Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
SBSTC-KARUNAMOYEE - DIGHA - VIA DUNLOP - 14:30 (DIGHA) - 3836,14:30,19:30,05h 00m,INR 170,"50 Seats available
18 Window",Non AC Seater (2+3),4.3, Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
SBSTC-KOLKATA - DIGHA - VOLVO - SPL - 16:15 (BEL DEPOT) - 3347,16:15,20:45,04h 30m,INR 410,"53 Seats available
26 Window",Volvo AC Seater (2+2),3.6, Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
SBSTC-GARIA - DIGHA - 15:15 (DIGHA DEPOT) - 543,16:30,21:00,04h 30m,INR 155,"36 Seats available
9 Window",Non AC Seater (2+3),2.3, Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
SBSTC-GARIA - DIGHA - 22:30 (DIGHA DEPOT) - 3745,23:45,04:15,04h 30m,INR 155,"22 Seats available
6 Window",Non AC Seater (2+3),4.2, Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
