Bus Name,Departure Time,Reaching Time,Duration,Bus Price,Seat Availability,Bus Type,Rating,Bus Route,Bus Route Link
SBSTC-PURULIA - KOLKATA - VIA - BNK - 06:30 (HWH DEPOT) - 834,10:20,13:50,03h 30m,INR 150,"48 Seats available
18 Window",Non AC Seater (2+3),4.0,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SBSTC-ASANSOL - BONGAON - VIA - HABRA - 09:25 (ASN DEPOT - 1350,10:35,14:05,03h 30m,INR 155,"41 Seats available
13 Window",Non AC Seater (2+3),3.9,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SBSTC-JHALDA - KARUNAMOYEE - VIA - PRL/ASN - 05:00 - 1089,10:45,14:45,04h 00m,INR 155,"43 Seats available
16 Window",Non AC Seater (2+3),4.5,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SBSTC-BAGMUNDI - KOLKATA - 05:00 (BEL DEPOT) - 764,10:50,14:20,03h 30m,INR 150,"52 Seats available
20 Window",Non AC Seater (2+3),2.5,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SBSTC-PURULIA - KOLKATA - 07:15 - (VIA ASN) (HWH DEPO - 2763,11:05,14:35,03h 30m,INR 150,"51 Seats available
19 Window",Non AC Seater (2+3),4.2,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SBSTC-ASANSOL - KOLKATA - 10:00 (ASANSOL DEPOT) - 147,11:20,14:50,03h 30m,INR 150,"51 Seats available
19 Window",Non AC Seater (2+3),3.4,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SBSTC-ASANSOL - KOLKATA - 10:30 (ASANSOL DEPOT) - 148,11:40,15:10,03h 30m,INR 150,"52 Seats available
20 Window",Non AC Seater (2+3),4.2,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SBSTC-DURGAPUR - KARUNAMOYEE - 11:45 (DGP DEPOT) - 139,11:45,15:45,04h 00m,INR 155,"49 Seats available
19 Window",Non AC Seater (2+3),3.8,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SBSTC-DURGAPUR - KOLKATA - 12:00 (DGP DEPOT) - 131,12:00,15:30,03h 30m,INR 150,"50 Seats available
19 Window",Non AC Seater (2+3),3.9,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SBSTC-BANKURA - KARUNAMOYEE - 10:15 (BNK DEPOT) - 820,12:15,16:15,04h 00m,INR 155,"50 Seats available
18 Window",Non AC Seater (2+3),3.9,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
